Location Names,GUIJA,FINCA LOS ANDES,CANDELARIA DE LA FRONTERA,PLANES DE MONTECRISTO,SANTA ANA-UNICAES,CONCEPCION QUEZALTEPEQUE,LAS PILAS,NUEVA CONCEPCION,LA PALMA,PROCAFE,SAN ANDRES
Location Ids,A15,A18,A27,A31,A37,G12,G13,G3,G4,L48,L4
Time,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion,Precipitacion
2000-04-05 07:00:00,0,0,0,1,0,-999,0,0,0,-999,0
2000-04-06 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-07 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-08 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-09 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-10 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-11 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-12 07:00:00,2.8,0.6,4.7,4.5,16.8,-999,5,1,0,-999,8.4
2000-04-13 07:00:00,0,0,0,0,0,-999,0,0.2,0,-999,5.1
2000-04-14 07:00:00,15.6,8.7,19.3,0,10.4,-999,2.7,4.4,9.6,-999,12.1
2000-04-15 07:00:00,1.5,43.1,0,0.4,32.9,-999,0,3.2,0,-999,8.3
2000-04-16 07:00:00,0,0,21.6,0.1,0,-999,8.7,0,17.9,-999,0
2000-04-17 07:00:00,17.2,1.2,0,8,6.6,-999,4.8,17.2,3.6,-999,12.6
2000-04-18 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-19 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-20 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-21 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-22 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-23 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-24 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-25 07:00:00,0,0.2,0,0,0,-999,0,0,0,-999,0
2000-04-26 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-27 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-28 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0.7
2000-04-29 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-04-30 07:00:00,0,5.1,0,0,0,-999,0,0,0,-999,0.7
2000-05-01 07:00:00,0,1.9,0,0,2,-999,0,9.3,0,-999,0
2000-05-02 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-05-03 07:00:00,3.3,7,10.8,2.9,2,-999,5,15.6,52.1,-999,10.3
2000-05-04 07:00:00,0,8.5,0.6,0,5.5,-999,0,0,0,-999,0
2000-05-05 07:00:00,0,0.6,0,0,0,-999,0,0,0,-999,0
2000-05-06 07:00:00,2,2.9,0.7,39.3,4.1,-999,16.5,21.8,12.9,-999,0
2000-05-07 07:00:00,0,1.4,15.6,0,0,-999,0,0,0.4,-999,3.6
2000-05-08 07:00:00,0,0.8,0.2,5.1,0.3,-999,5.3,1.2,0,-999,1.9
2000-05-09 07:00:00,15.5,1.4,0.1,4.5,14,-999,21.5,2.1,19.1,-999,0
2000-05-10 07:00:00,0,7.9,2,4.5,9.6,-999,4.5,0,5.6,-999,0
2000-05-11 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-05-12 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-05-13 07:00:00,3.2,2.1,3.5,26.9,0,-999,58.5,0.3,18.9,-999,1.2
2000-05-14 07:00:00,39.2,22.7,25.5,17.8,21.6,-999,11,43.7,14.3,-999,46
2000-05-15 07:00:00,2.7,7.3,2.4,4.5,1.5,-999,2.5,1.1,3,-999,23.9
2000-05-16 07:00:00,0,1.6,0,7.8,0,-999,5.5,1.4,0.2,-999,0
2000-05-17 07:00:00,0,1.8,0.2,1.3,0.1,-999,1.8,0,0.4,-999,3
2000-05-18 07:00:00,2.2,6.6,2,6.8,5.6,-999,3.5,6.2,2.6,-999,41.4
2000-05-19 07:00:00,6.1,3.4,10.5,46.2,2.8,-999,41.5,7.5,51.2,-999,2.4
2000-05-20 07:00:00,16,0.7,1.9,22.4,9.4,-999,11.5,20.4,82.4,-999,0.5
2000-05-21 07:00:00,0,0,0,20.6,0,-999,13,0,44.9,-999,0
2000-05-22 07:00:00,0,4.4,2.7,19.4,5.6,-999,14,0,59.6,-999,9.8
2000-05-23 07:00:00,11.6,10.4,17.7,47.2,17.6,-999,13,14.4,195.6,-999,8.6
2000-05-24 07:00:00,0.2,0,0,6.9,0,-999,10,0,4,-999,0
2000-05-25 07:00:00,0,1.4,0,0.9,9.8,-999,0,0.1,12.1,-999,0
2000-05-26 07:00:00,0.3,1.6,2.4,32.2,12.7,-999,6,0.3,19.1,-999,3
2000-05-27 07:00:00,10.5,29.5,3,0,21.5,-999,5,3.5,2.5,-999,15.1
2000-05-28 07:00:00,0,0.2,0,0,0,-999,0,0,0.3,-999,0
2000-05-29 07:00:00,15.4,0,3.6,29,15,-999,9,14.6,3,-999,0
2000-05-30 07:00:00,0.2,0,0,20.3,0,-999,4,0,3.9,-999,0
2000-05-31 07:00:00,14,47.9,14.3,57.4,84.2,-999,21,10.6,74.1,-999,11.1
2000-06-01 07:00:00,0.3,0,0.2,9.4,5.3,-999,1.8,1.5,28.7,-999,0
2000-06-02 07:00:00,0.2,0,0,5,0,-999,0,0,24.2,-999,0
2000-06-03 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-06-04 07:00:00,60.5,48.1,100.1,90.4,36.2,-999,63.8,36.5,92.6,-999,8
2000-06-05 07:00:00,24.5,13.2,30,27.6,9.7,-999,19.5,39.8,8,-999,11.5
2000-06-06 07:00:00,0.2,0.4,0,25.1,0,-999,1.5,1.8,0.2,-999,0.4
2000-06-07 07:00:00,12.4,27.9,24.3,26.9,8.3,-999,27,35,62.3,-999,14.5
2000-06-08 07:00:00,6.4,39.6,30.8,51.7,9,-999,30,15.8,24.1,-999,26.2
2000-06-09 07:00:00,0,0,0,0,0.2,-999,0.1,0,0,-999,3.3
2000-06-10 07:00:00,26.5,1.5,23.4,60.4,26.7,-999,11,17.6,34.3,-999,0
2000-06-11 07:00:00,0,1.6,0.8,0.9,0,-999,1.2,0.1,6.6,-999,0
2000-06-12 07:00:00,3.1,0.5,0.4,8.3,0,-999,8,6.5,4.6,-999,0.4
2000-06-13 07:00:00,26.9,4,47.4,43.5,26.9,-999,5.7,59,34,-999,0
2000-06-14 07:00:00,0,0,0,2.4,0,-999,5,0,0,-999,0
2000-06-15 07:00:00,4.6,0,4.3,32,5.3,-999,17,0.6,0.7,-999,1
2000-06-16 07:00:00,32.6,11.2,7.9,38.5,21.8,-999,3.3,36.8,1.5,-999,14.7
2000-06-17 07:00:00,0,0,31.1,1,0,-999,13,0.2,1.8,-999,0
2000-06-18 07:00:00,0,54,2.4,0,14.5,-999,0,0.1,0.2,-999,16.4
2000-06-19 07:00:00,15.7,54.4,7.7,2.8,15.8,-999,9.5,5.3,2.1,-999,13.2
2000-06-20 07:00:00,26.6,27.2,24.5,22.1,35.7,-999,9.5,1,11.9,-999,21
2000-06-21 07:00:00,14.8,1.6,17.6,13.6,6,-999,18,8.4,15.4,-999,0
2000-06-22 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-06-23 07:00:00,0,0,0,0,1.2,-999,0,0,0,-999,0.6
2000-06-24 07:00:00,0,0,0,0,0,-999,1.8,0,1,-999,0
2000-06-25 07:00:00,1.2,0.2,13.1,0,0.4,-999,0.7,13.4,1.6,-999,0.3
2000-06-26 07:00:00,1.5,43.2,6.8,3.7,19.4,-999,0,34,1.9,-999,15
2000-06-27 07:00:00,3.4,3.7,1.7,2.3,4.7,-999,0.4,0.8,0.2,-999,6.6
2000-06-28 07:00:00,1.9,3.4,0.5,0,0.2,-999,0,2.4,12.9,-999,9.1
2000-06-29 07:00:00,2,2.4,0,0.1,0,-999,4,26.1,21.8,-999,0.7
2000-06-30 07:00:00,0,0.2,0,0,0.4,-999,0,0,0,-999,2.3
2000-07-01 07:00:00,0,14.1,0,0,0,-999,0,9.7,0,-999,4.4
2000-07-02 07:00:00,0.4,0,0.3,0,0,-999,0,0,0.2,-999,0
2000-07-03 07:00:00,1.2,0.8,2.7,1.3,4.7,-999,1,0.9,41.8,-999,1
2000-07-04 07:00:00,0,1.2,0,0,2.6,-999,0,0,0,-999,0
2000-07-05 07:00:00,0,9.1,0.6,25.6,0,-999,13,0.1,21.8,-999,0
2000-07-06 07:00:00,0.6,1.3,0,0,8.2,-999,0,4.3,0,-999,15.1
2000-07-07 07:00:00,0,0,0,0.8,0,-999,0,0,0,-999,0.4
2000-07-08 07:00:00,0,0,0,1.1,0,-999,0,0,0,-999,0
2000-07-09 07:00:00,22.5,24.5,8.8,6.1,10.4,-999,7,20.8,6.2,-999,5
2000-07-10 07:00:00,0.3,18.7,8.9,0,37.7,-999,0,33.9,0.8,-999,11.5
2000-07-11 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0.2
2000-07-12 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-07-13 07:00:00,0,0,0,0,0,-999,0,0,0,-999,0
2000-07-14 07:00:00,0,1.4,0,0,2.6,-999,0,0.5,0,-999,0.9
2000-07-15 07:00:00,0,0,0,0,0,-999,0,0,0,-999,2.9
2000-07-16 07:00:00,0,0,0,0,0,-999,0,1.5,14.5,-999,1.7
2000-07-17 07:00:00,0,0.5,0,3.8,0.3,-999,0,0.2,21.6,-999,0
