ID,NAME,SOURCE,LATITUDE,LONGITUDE,GAUGE_TYPE,PARAMETER,TEMPORAL_RESOLUTION_P,TEMPORAL_RESOLUTION_H,TEMPORAL_RESOLUTION_T,CALIBRATION,OPERATIONAL
A31,PLANES DE MONTECRISTO,MARN,14.3970,-89.3600,CONVENCIONAL,P,Diaria,,,yes,yes
A37,SANTA ANA-UNICAES,MARN,13.9810,-89.5480,CONVENCIONAL,P,Diaria,,,yes,yes
B1,CH. DEL GUAYABO,MARN,13.9860,-88.7550,CONVENCIONAL,P,Diaria,,,no,yes
B10,CERRON GRANDE,MARN,13.9360,-88.9130,CONVENCIONAL,P,Diaria,,,no,yes
B6,SENSUNTEPEQUE,MARN,13.8690,-88.6470,CONVENCIONAL,P,Diaria,,,no,yes
C9,COJUTEPEQUE SM,MARN,13.7190,-88.9270,CONVENCIONAL,P,Diaria,,,no,yes
G100,MANANTIALES GEO,MARN,13.6110,-89.2940,CONVENCIONAL,P,Diaria,,,no,yes
G101,JUAYUA-GEO,MARN,13.8410,-89.7480,CONVENCIONAL,P,Diaria,,,no,yes
G12,CONCEPCION QUEZALTEPEQUE,MARN,14.0800,-88.9680,CONVENCIONAL,P,Diaria,,,yes,yes
G13,LAS PILAS,MARN,14.3720,-89.0880,CONVENCIONAL,P,Diaria,,,yes,yes
G3,NUEVA CONCEPCION,MARN,14.1240,-89.2900,CONVENCIONAL,P,Diaria,,,yes,yes
G4,LA PALMA,MARN,14.2910,-89.1620,CONVENCIONAL,P,Diaria,,,yes,yes
H14,LA HACHADURA,MARN,13.8590,-90.0900,CONVENCIONAL,P,Diaria,,,no,yes
H8,AHUACHAPAN SM,MARN,13.9420,-89.8600,CONVENCIONAL,P,Diaria,,,no,yes
L27,CHILTIUPAN,MARN,13.5960,-89.4700,CONVENCIONAL,P,Diaria,,,no,yes
L4,SAN ANDRES,MARN,13.8070,-89.4070,CONVENCIONAL,P,Diaria,,,yes,yes
L48,PROCAFE,MARN,13.6860,-89.2880,CONVENCIONAL,P,Diaria,,,yes,yes
M24,SAN MIGUEL UES,MARN,13.4380,-88.1580,CONVENCIONAL,P,Diaria,,,no,yes
M4,LOLOTIQUE,MARN,13.5560,-88.3530,CONVENCIONAL,P,Diaria,,,no,yes
N2,LA UNIÓN/CPI,MARN,13.3320,-87.8270,CONVENCIONAL,P,Diaria,,,no,yes
N24,VOLCAN CONCHAGUA,MARN,13.2750,-87.8340,CONVENCIONAL,P,Diaria,,,no,yes
N6,SANTA ROSA DE LIMA,MARN,13.6260,-87.8830,CONVENCIONAL,P,Diaria,,,no,yes
P16,A. EL SALVADOR,MARN,13.4390,-89.0550,CONVENCIONAL,P,Diaria,,,no,yes
P18,LOS NOVILLOS,MARN,13.4330,-89.0080,CONVENCIONAL,P,Diaria,,,no,yes
S10,A. ILOPANGO,MARN,13.6970,-89.1180,CONVENCIONAL,P,Diaria,,,no,yes
S30,SNET-MARN,MARN,13.6870,-89.2320,CONVENCIONAL,P,Diaria,,,no,yes
T24,LOS NARANJOS,MARN,13.8740,-89.6750,CONVENCIONAL,P,Diaria,,,no,yes
T6,"ACAJUTLA, PTO NUEVO",MARN,13.5720,-89.8330,CONVENCIONAL,P,Diaria,,,no,yes
U11,BENEFICIO LA CARRERA,MARN,13.3290,-88.5250,CONVENCIONAL,P,Diaria,,,no,yes
U14,PUERTO PARADA,MARN,13.2530,-88.4430,CONVENCIONAL,P,Diaria,,,no,yes
U6,SANTIAGO DE MARIA,MARN,13.4840,-88.4720,CONVENCIONAL,P,Diaria,,,no,yes
V6,SANTA CRUZ PORRILLO,MARN,13.4390,-88.8030,CONVENCIONAL,P,Diaria,,,no,yes
V9,PUENTE CUSCATLAN,MARN,13.6010,-88.5930,CONVENCIONAL,P,Diaria,,,no,yes
Z2,SAN FCO. GOTERA,MARN,13.6960,-88.1070,CONVENCIONAL,P,Diaria,,,no,yes
Z3,PERQUIN,MARN,13.9570,-88.1620,CONVENCIONAL,P,Diaria,,,no,yes
Z9,VILLA EL ROSARIO,MARN,13.8640,-88.2120,CONVENCIONAL,P,Diaria,,,no,yes
CEL_01,GUAJOYO,MARN,14.2167,-89.4667,HIDRO,HQ,,Horaria,,yes,no
